Trial Day,Date,724908,724921,724922,724930,724949
78,2/7/2021,726.7333333,680.6944444,709.0166667,731.7063492,796.1111111
79,2/8/2021,723.1666667,686.9166667,709.225,730.0515873,790.8888889
80,2/9/2021,727,673.6666667,722.0166667,725.0277778,776.4722222
81,2/10/2021,723.6666667,675.7222222,722.75,714.5833333,781.6944444
82,2/11/2021,721.7222222,676.3888889,729.25,713.5,793.9166667
83,2/12/2021,719.1388889,691.3333333,721.7,704.6666667,793
84,2/13/2021,737.6,702.33,696.5333333,701.8333333,766.6666667
85,2/14/2021,728.4722222,713.4444444,682.5333333,700.75,757.3333333
86,2/15/2021,726.0833333,719.9444444,703,726.6785714,772.33
87,2/16/2021,718.0555556,716,728.6666667,738.4007937,762.7777778
88,2/17/2021,706.7222222,704.6666667,736,757.3174603,789.4444444
89,2/18/2021,712.8888889,715.8333333,733.6666667,754.7222222,792.2777778
90,2/19/2021,737.4166667,721.4444444,747.8333333,759.8333333,812.1666667
91,2/20/2021,752.25,736.6666667,766,757.1666667,827.3333333
92,2/21/2021,750,731.3333333,771.6666667,758.75,849.2777778
93,2/22/2021,75155,732.2222222,759,764.0833333,852.2777778
94,2/23/2021,771.5833333,726,759.9166667,773.0833333,858.9444444
95,2/24/2021,780.3888889,732,765.5833333,784.8333333,860.8333333
96,2/25/2021,786.2222222,743.2222222,778.0833333,787.9166667,857.5833333
97,2/26/2021,776.2222222,720.66,770.8333333,782.8055556,854.0833333
98,2/27/2021,768,740.9722222,758.5,771.3055556,846.0833333
99,2/28/2021,779,745.9722222,760,767.5555556,850.44
